evaluation_method,codemeta
evalF1,citation / identifier / sameAs / isPartOf / url
evalF1_1,isPartOf / identifier
evalF1_2,softwareVersion / version
evalF2,description / fileSize
evalF3,codeRepository / hasPart / identifier / publisher
evalF4,applicationCategory / applicationSubCategory / isAccessibleForFree / keywords
evalA1,codeRepository / downloadUrl
evalA1_1,downloadUrl / installUrl / isAccessibleForFree / license / permissions / url
evalA1_2,downloadUrl / hasPart / installUrl / isAccessibleForFree / isPartOf / license / permissions
evalA2,identifier / url
evalI1,input / output / runtimePlatform
evalI2,relatedLink / supportingData / isPartOf / referencePublication
evalR1,description / applicationCategory / applicationSubCategory / keywords
evalR1_1,citation / license / referencePublication
evalR1_2,address / affiliation / author / citation / contributor / copyrightHolder / copyrightYear / dateCreated / dateModified / datePublished / editor / email / funder / funding / maintainer / producer / provider / publisher
evalR2,softwareRequirement / softwareSuggestions
evalR3,referencePublication
